Grand Prix,Number,First,Last
70th Anniversary,1,2020,2020
Abu Dhabi,15,2009,2023
Argentina,20,1953,1998
Australia,38,1985,2024
Austria,37,1964,2024
Azerbaijan,6,2017,2023
Bahrain,20,2004,2024
Belgium,69,1950,2024
Brazil,47,1973,2019
Britain,75,1950,2024
Caesars Palace,2,1981,1982
Canada,53,1967,2024
China,17,2004,2024
Dallas,1,1984,1984
Detroit,7,1982,1988
Eifel,1,2020,2020
Emilia-Romagna,4,2020,2024
Europe,23,1983,2016
France,62,1950,2022
Germany,64,1951,2019
Hungary,39,1986,2024
India,3,2011,2013
Indianapolis,11,1950,1960
Italy,74,1950,2023
Japan,38,1976,2024
Las Vegas,1,2023,2023
Luxembourg,2,1997,1998
Malaysia,19,1999,2017
Mexico,20,1963,2019
Mexico City,3,2021,2023
Miami,3,2022,2024
Monaco,70,1950,2024
Morocco,1,1958,1958
Netherlands,33,1952,2023
Pacific,2,1994,1995
Pescara,1,1957,1957
Portugal,18,1958,2021
Qatar,2,2021,2023
Russia,8,2014,2021
Sakhir,1,2020,2020
San Marino,26,1981,2006
Ṣo Paulo,3,2021,2023
Saudi Arabia,4,2021,2024
Singapore,14,2008,2023
South Africa,23,1962,1993
South Korea,4,2010,2013
Spain,54,1951,2024
Styria,2,2020,2021
Sweden,6,1973,1978
Switzerland,6,1950,1982
Turkey,9,2005,2021
Tuscany,1,2020,2020
USA,44,1959,2023
USA West,8,1976,1983
,,,
